StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentY/N,attnCheckQ,ladderPlacement_1,perceivedPainQ,perceivedClosenessQ,extension_1,disruptive,grade,lifeHardshipMatrix_1,lifeHardshipMatrix_2,lifeHardshipMatrix_3,lifeHardshipMatrix_4,warmthComp_1,warmthComp_2,warmthComp_3,warmthComp_4,emotion_1,emotion_2,emotion_3,emotion_4,gender,age,country,country_6_TEXT,race,race_7_TEXT,ethnicity,ethnicity_5_TEXT,FL_20_DO
2022-01-28 09:44:08,2022-01-28 09:49:38,0,154.22.56.30,100,330,1,2022-01-28 09:49:38,R_vZkkN1Zad0hAMPD,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,1,9,3,3,6,3,3,2,3,3,3,3,3,4,4,3,4,4,4,1,34,4,,6,,2,,lowThomas
2022-01-28 09:49:48,2022-01-28 09:54:51,0,185.191.228.148,100,303,1,2022-01-28 09:54:51,R_pLAP037bAqAINzj,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,1,1,10,2,3,4,4,1,2,3,2,3,3,2,2,5,3,2,3,4,1,27,4,,"3,6",,1,,lowThomas
2022-01-28 10:00:33,2022-01-28 10:05:11,0,208.203.220.77,100,278,1,2022-01-28 10:05:12,R_cU7Ygm9j9l9lbKp,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,1,2,4,3,3,2,2,3,2,3,3,3,4,4,3,4,3,4,3,1,26,4,,6,,1,,lowThomas
2022-01-28 09:59:27,2022-01-28 10:06:50,0,198.14.16.60,100,442,1,2022-01-28 10:06:50,R_25bXSxnYPTS9iBX,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,1,1,8,3,4,5,3,5,3,3,3,4,3,3,4,4,4,3,4,5,2,35,4,,"3,6",,1,,highThomas
2022-01-28 10:31:27,2022-01-28 10:34:39,0,154.22.56.33,100,191,1,2022-01-28 10:34:39,R_ZpJ4kYO3jK5ODzr,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,1,9,3,3,5,3,4,2,3,3,4,3,3,4,4,4,2,4,4,1,34,4,,6,,1,,lowThomas
2022-01-28 10:37:33,2022-01-28 10:42:33,0,23.254.15.94,100,299,1,2022-01-28 10:42:33,R_1oFNXyV7TSYhFR1,,,,,39.1027069091796875,-94.592498779296875,anonymous,EN,1,1,8,2,3,4,3,1,3,4,3,3,4,5,4,4,4,5,4,4,2,53,4,,6,,1,,lowThomas
2022-01-28 10:50:58,2022-01-28 10:54:09,0,147.124.217.100,100,190,1,2022-01-28 10:54:09,R_RnqdYaCgi2K2Ozv,,,,,32.776702880859375,-96.80500030517578125,anonymous,EN,1,1,8,3,4,5,3,1,3,3,3,3,4,4,4,4,4,4,4,4,2,40,4,,6,,1,,highThomas
2022-01-28 11:00:40,2022-01-28 11:02:44,0,208.203.209.11,100,123,1,2022-01-28 11:02:44,R_2wnIARy2Rd3es9R,,,,,40.82049560546875,-73.91829681396484375,anonymous,EN,1,1,7,3,2,4,3,2,3,3,2,3,3,4,4,3,4,3,4,4,1,26,4,,6,,1,,highThomas
2022-01-28 10:58:06,2022-01-28 11:04:07,0,68.97.138.247,100,361,1,2022-01-28 11:04:07,R_Tn37F8S1RGs5wMV,,,,,35.497100830078125,-97.733001708984375,anonymous,EN,1,2,9,3,4,6,4,2,4,2,3,3,5,4,3,4,5,4,3,4,2,51,4,,6,,5,,lowThomas
2022-01-28 11:35:20,2022-01-28 11:42:00,0,81.161.4.59,100,399,1,2022-01-28 11:42:00,R_1Nhl9FoL8A5nkKe,,,,,40.766204833984375,-74.01779937744140625,anonymous,EN,1,1,9,3,3,6,4,2,3,4,2,3,4,5,5,3,5,5,4,3,1,31,4,,6,,1,,highThomas
2022-01-28 11:52:34,2022-01-28 11:54:44,0,74.129.86.185,100,130,1,2022-01-28 11:54:44,R_AFjPqC4vFjg4BDH,,,,,36.7313995361328125,-88.6501007080078125,anonymous,EN,1,1,8,3,2,5,3,3,3,4,4,4,4,4,4,5,5,4,4,4,1,37,4,,3,,1,,lowThomas
2022-01-28 13:15:06,2022-01-28 13:31:31,0,199.114.218.121,100,985,1,2022-01-28 13:31:32,R_3oHinWfrw6n0Hq3,,,,,40.1103973388671875,-83.11309814453125,anonymous,EN,1,1,8,4,4,7,4,2,3,2,3,2,4,4,4,4,4,2,4,2,1,31,4,,6,,5,,highThomas
2022-01-28 09:50:45,2022-01-28 09:51:08,0,185.191.228.148,30,23,0,2022-02-02 12:57:06,R_1lcKUCdUEBlzgrb,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,lowThomas
2022-01-28 09:16:54,2022-01-28 09:17:38,0,194.49.79.194,30,44,0,2022-02-02 12:57:06,R_ZlqoZY7bl59eTOV,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,highThomas
2022-01-28 09:19:32,2022-01-28 09:20:00,0,212.162.148.120,33,28,0,2022-02-02 12:57:06,R_1JKqzyzz0VqsL9F,,,,,,,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,lowThomas
2022-01-28 09:50:01,2022-01-28 10:08:05,0,185.244.38.210,58,1084,0,2022-02-02 12:57:06,R_2qCMBqnJKzYsbIW,,,,,,,anonymous,EN,1,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,highThomas
2022-01-28 10:27:20,2022-01-28 10:28:00,0,99.97.27.108,21,39,0,2022-02-02 12:57:07,R_Y5PwdvwJmLNsDLz,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,highThomas
2022-01-28 09:52:11,2022-01-28 12:55:15,0,185.191.228.148,21,10983,0,2022-02-02 12:57:07,R_2wTd7yFzUTgrdhW,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,lowThomas
2022-01-28 09:17:07,2022-01-28 09:23:14,0,74.215.216.98,97,367,0,2022-02-02 12:57:07,R_0DI7Bxb7JmOd5vz,,,,,,,anonymous,EN,1,1,9,4,4,5,3,2,4,2,3,2,4,4,4,4,4,4,3,3,1,57,4,,6,,1,,highThomas
2022-01-28 11:50:38,2022-01-28 11:51:41,0,198.14.28.93,30,63,0,2022-02-02 12:57:07,R_22X1jsDDfZYXjXd,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,lowThomas
2022-01-28 09:45:02,2022-01-28 09:46:52,0,154.22.56.30,21,110,0,2022-02-02 12:57:07,R_1BSphA261kx6vL7,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,highThomas
2022-01-28 10:03:10,2022-01-28 10:05:13,0,157.46.104.27,42,122,0,2022-02-02 12:57:07,R_2TAekIuOoVglVee,,,,,,,anonymous,EN,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,highThomas
